name,sex,age,height,weight,bmi,country,year,season,host country,sport,event,medal
Saina Nehwal,F,22.0,167.0,65.0,23.31,India,2012,Summer,United Kingdom,Badminton,Badminton Women's Singles,Bronze
Jade Neilsen,F,21.0,175.0,70.0,22.86,Australia,2012,Summer,United Kingdom,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Silver
Daryll Saskia Neita,F,19.0,172.0,61.0,20.62,United Kingdom,2016,Summer,Brazil,Athletics,Athletics Women's 4 x 100 metres Relay,Bronze
Irina Sergeyevna Nekrasova,F,20.0,168.0,63.0,22.32,Kazakhstan,2008,Summer,China,Weightlifting,Weightlifting Women's Middleweight,Silver
Bryshon Lorenzo Nellum,M,23.0,183.0,80.0,23.89,United States of America,2012,Summer,United Kingdom,Athletics,Athletics Men's 4 x 400 metres Relay,Silver
Adam McCright Nelson,M,29.0,183.0,120.0,35.83,United States of America,2004,Summer,Greece,Athletics,Athletics Men's Shot Put,Gold
Diane Nelson (-Dezura),F,43.0,163.0,59.0,22.21,Canada,2002,Winter,United States,Curling,Curling Women's Curling,Bronze
Lars Fredrik Nelson,M,28.0,180.0,77.0,23.77,Sweden,2014,Winter,Russia,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Gold
Lianne McLellan Nelson-Bennion,F,32.0,177.0,68.0,21.71,United States of America,2004,Summer,Greece,Rowing,Rowing Women's Coxed Eights,Silver
Zsolt Nemcsik,M,26.0,188.0,88.0,24.9,Hungary,2004,Summer,Greece,Fencing,"Fencing Men's Sabre, Individual",Silver
Torger Nergrd,M,27.0,179.0,85.0,26.53,Norway,2002,Winter,United States,Curling,Curling Men's Curling,Gold
Torger Nergrd,M,35.0,179.0,85.0,26.53,Norway,2010,Winter,Canada,Curling,Curling Men's Curling,Silver
"Stefanie ""Steffi"" Nerius",F,32.0,178.0,72.0,22.72,Germany,2004,Summer,Greece,Athletics,Athletics Women's Javelin Throw,Silver
Christine Margaret Nesbitt,F,20.0,171.0,68.0,23.26,Canada,2006,Winter,Italy,Speed Skating,Speed Skating Women's Team Pursuit (6 laps),Silver
Christine Margaret Nesbitt,F,24.0,171.0,68.0,23.26,Canada,2010,Winter,Canada,Speed Skating,"Speed Skating Women's 1,000 metres",Gold
Stephanie Nesbitt,F,19.0,165.0,52.0,19.1,United States of America,2004,Summer,Greece,Synchronized Swimming,Synchronized Swimming Women's Team,Bronze
Mauro Nespoli,M,20.0,181.0,78.0,23.81,Italy,2008,Summer,China,Archery,Archery Men's Team,Silver
Mauro Nespoli,M,24.0,181.0,78.0,23.81,Italy,2012,Summer,United Kingdom,Archery,Archery Men's Team,Gold
Yuliya Viktorovna Nesterenko (Bartsevich-),F,25.0,176.0,62.0,20.02,Belarus,2004,Summer,Greece,Athletics,Athletics Women's 100 metres,Gold
Mikhail Valeryevich Nestruyev,M,35.0,174.0,61.0,20.15,Russia,2004,Summer,Greece,Shooting,"Shooting Men's Air Pistol, 10 metres",Silver
Mikhail Valeryevich Nestruyev,M,35.0,174.0,61.0,20.15,Russia,2004,Summer,Greece,Shooting,"Shooting Men's Free Pistol, 50 metres",Gold
Acer Gary Nethercott,M,30.0,174.0,55.0,18.17,United Kingdom,2008,Summer,China,Rowing,Rowing Men's Coxed Eights,Silver
Norberto Murara Neto,M,23.0,191.0,83.0,22.75,Brazil,2012,Summer,United Kingdom,Football,Football Men's Football,Silver
Kateina Neumannov,F,28.0,175.0,67.0,21.88,Czechia,2002,Winter,United States,Cross Country Skiing,Cross Country Skiing Women's 15 kilometres,Silver
Kateina Neumannov,F,28.0,175.0,67.0,21.88,Czechia,2002,Winter,United States,Cross Country Skiing,Cross Country Skiing Women's 5/5 kilometres Pursuit,Silver
Kateina Neumannov,F,32.0,175.0,67.0,21.88,Czechia,2006,Winter,Italy,Cross Country Skiing,Cross Country Skiing Women's 30 kilometres,Gold
Kateina Neumannov,F,32.0,175.0,67.0,21.88,Czechia,2006,Winter,Italy,Cross Country Skiing,Cross Country Skiing Women's 15 km Skiathlon,Silver
Michael Neumayer,M,31.0,180.0,60.0,18.52,Germany,2010,Winter,Canada,Ski Jumping,"Ski Jumping Men's Large Hill, Team",Silver
Magdalena Neuner (-Holzer),F,23.0,166.0,58.0,21.05,Germany,2010,Winter,Canada,Biathlon,Biathlon Women's 7.5 kilometres Sprint,Silver
Magdalena Neuner (-Holzer),F,23.0,166.0,58.0,21.05,Germany,2010,Winter,Canada,Biathlon,Biathlon Women's 10 kilometres Pursuit,Gold
Magdalena Neuner (-Holzer),F,23.0,166.0,58.0,21.05,Germany,2010,Winter,Canada,Biathlon,Biathlon Women's 12.5 kilometres Mass Start,Gold
Kiley Neushul,F,23.0,173.0,65.0,21.72,United States of America,2016,Summer,Brazil,Water Polo,Water Polo Women's Water Polo,Gold
Juan Carlos Nevado Gonzlez,M,25.0,171.0,74.0,25.31,Germany,2008,Summer,China,Hockey,Hockey Men's Hockey,Gold
Frida Margareta Nevalainen,F,19.0,165.0,64.0,23.51,Sweden,2006,Winter,Italy,Ice Hockey,Ice Hockey Women's Ice Hockey,Silver
Leandro Vissotto Neves,M,29.0,212.0,97.0,21.58,Brazil,2012,Summer,United Kingdom,Volleyball,Volleyball Men's Volleyball,Silver
Thiago Neves Augusto,M,23.0,182.0,70.0,21.13,Brazil,2008,Summer,China,Football,Football Men's Football,Bronze
David Neville,M,24.0,193.0,77.0,20.67,United States of America,2008,Summer,China,Athletics,Athletics Men's 400 metres,Bronze
David Neville,M,24.0,193.0,77.0,20.67,United States of America,2008,Summer,China,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
"John Joseph ""Joe"" Nevin",M,23.0,170.0,54.0,18.69,Ireland,2012,Summer,United Kingdom,Boxing,Boxing Men's Bantamweight,Silver
Robert Frederick Newbery,M,25.0,174.0,70.0,23.12,Australia,2004,Summer,Greece,Diving,Diving Men's Synchronized Springboard,Bronze
Robert Frederick Newbery,M,25.0,174.0,70.0,23.12,Australia,2004,Summer,Greece,Diving,Diving Men's Synchronized Platform,Bronze
Stephen Newbold,M,21.0,191.0,82.0,22.48,Bahamas,2016,Summer,Brazil,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze
"Christopher ""Chris"" Newton",M,30.0,181.0,69.0,21.06,United Kingdom,2004,Summer,Greece,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Silver
"Christopher ""Chris"" Newton",M,34.0,181.0,69.0,21.06,United Kingdom,2008,Summer,China,Cycling,Cycling Men's Points Race,Bronze
Neymar da Silva Santos Jnior,M,20.0,174.0,64.0,21.14,Brazil,2012,Summer,United Kingdom,Football,Football Men's Football,Silver
Neymar da Silva Santos Jnior,M,24.0,174.0,64.0,21.14,Brazil,2016,Summer,Brazil,Football,Football Men's Football,Gold
Timothey N'Guessan,M,23.0,186.0,105.0,30.35,France,2016,Summer,Brazil,Handball,Handball Men's Handball,Silver
Marcel Van Minh Phuc Long Nguyen,M,24.0,165.0,55.0,20.2,Germany,2012,Summer,United Kingdom,Gymnastics,Gymnastics Men's Individual All-Around,Silver
Marcel Van Minh Phuc Long Nguyen,M,24.0,165.0,55.0,20.2,Germany,2012,Summer,United Kingdom,Gymnastics,Gymnastics Men's Parallel Bars,Silver
Ni Hong,F,22.0,175.0,62.0,20.24,China,2008,Summer,China,Fencing,"Fencing Women's Sabre, Team",Silver
Haby Niar,F,23.0,176.0,66.0,21.31,France,2016,Summer,Brazil,Taekwondo,Taekwondo Women's Welterweight,Silver
Laura Nicholls Gonzlez,F,27.0,190.0,90.0,24.93,Spain,2016,Summer,Brazil,Basketball,Basketball Women's Basketball,Silver
Mark Nichols,M,26.0,177.0,81.0,25.85,Canada,2006,Winter,Italy,Curling,Curling Men's Curling,Gold
Andrew Clifton Nicholson,M,50.0,182.0,78.0,23.55,New Zealand,2012,Summer,United Kingdom,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Bronze
Paolo Nicolai,M,27.0,203.0,91.0,22.08,Italy,2016,Summer,Brazil,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,Silver
Astier Nicolas,M,27.0,180.0,70.0,21.6,France,2016,Summer,Brazil,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Silver
Astier Nicolas,M,27.0,180.0,70.0,21.6,France,2016,Summer,Brazil,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Gold
Scott Niedermayer,M,28.0,185.0,91.0,26.59,Canada,2002,Winter,United States,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
Scott Niedermayer,M,36.0,185.0,91.0,26.59,Canada,2010,Winter,Canada,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
"Barbara ""Babsi"" Niedernhuber",F,27.0,174.0,69.0,22.79,Germany,2002,Winter,United States,Luge,Luge Women's Singles,Silver
Konrad ukasz Niedwiedzki,M,29.0,180.0,80.0,24.69,Poland,2014,Winter,Russia,Speed Skating,Speed Skating Men's Team Pursuit (8 laps),Bronze
Joachim Flemming Fischer Nielsen,M,33.0,188.0,78.0,22.07,Denmark,2012,Summer,United Kingdom,Badminton,Badminton Mixed Doubles,Bronze
Michael Damgaard Nielsen,M,26.0,192.0,92.0,24.96,Denmark,2016,Summer,Brazil,Handball,Handball Men's Handball,Gold
Mie stergaard Nielsen,F,19.0,184.0,67.0,19.79,Denmark,2016,Summer,Brazil,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Bronze
Antti-Jussi Jormanpoika Niemi,M,28.0,184.0,86.0,25.4,Finland,2006,Winter,Italy,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
Minna Eliisa Nieminen,F,31.0,172.0,62.0,20.96,Finland,2008,Summer,China,Rowing,Rowing Women's Lightweight Double Sculls,Silver
Ville Juhani Nieminen,M,28.0,182.0,97.0,29.28,Finland,2006,Winter,Italy,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
Simon Niepmann,M,31.0,180.0,71.0,21.91,Switzerland,2016,Summer,Brazil,Rowing,Rowing Men's Lightweight Coxless Fours,Gold
"Joseph ""Joe"" Nieuwendyk",M,35.0,185.0,93.0,27.17,Canada,2002,Winter,United States,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
Ivan Vitalyevich Nifontov,M,25.0,172.0,81.0,27.38,Russia,2012,Summer,United Kingdom,Judo,Judo Men's Half-Middleweight,Bronze
Antero Pertti Elias Niittymki,M,25.0,185.0,84.0,24.54,Finland,2006,Winter,Italy,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
Slobodan Niki,M,21.0,197.0,106.0,27.31,Serbia,2004,Summer,Greece,Water Polo,Water Polo Men's Water Polo,Silver
Slobodan Niki,M,29.0,197.0,106.0,27.31,Serbia,2012,Summer,United Kingdom,Water Polo,Water Polo Men's Water Polo,Bronze
Slobodan Niki,M,33.0,197.0,106.0,27.31,Serbia,2016,Summer,Brazil,Water Polo,Water Polo Men's Water Polo,Gold
Viktoriya Aleksandrovna Nikishina,F,23.0,174.0,68.0,22.46,Russia,2008,Summer,China,Fencing,"Fencing Women's Foil, Team",Gold
Vladimir Olegovich Nikitin,M,26.0,165.0,56.0,20.57,Russia,2016,Summer,Brazil,Boxing,Boxing Men's Bantamweight,Bronze
Yuriy Viktorovych Nikitin,M,26.0,172.0,62.0,20.96,Ukraine,2004,Summer,Greece,Trampolining,Trampolining Men's Individual,Gold
Yelena Valeryevna Nikitina,F,21.0,169.0,57.0,19.96,Russia,2014,Winter,Russia,Skeleton,Skeleton Women's Skeleton,Bronze
Alexandros Nikolaidis,M,24.0,201.0,103.5,25.62,Greece,2004,Summer,Greece,Taekwondo,Taekwondo Men's Heavyweight,Silver
Alexandros Nikolaidis,M,28.0,201.0,103.5,25.62,Greece,2008,Summer,China,Taekwondo,Taekwondo Men's Heavyweight,Silver
