name,sex,age,height,weight,bmi,country,year,season,host country,sport,event,medal
Juhamatti Tapio Aaltonen,M,28.0,184.0,85.0,25.11,Finland,2014,Winter,Russia,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
Kjetil Andr Aamodt,M,30.0,176.0,85.0,27.44,Norway,2002,Winter,United States,Alpine Skiing,Alpine Skiing Men's Super G,Gold
Kjetil Andr Aamodt,M,30.0,176.0,85.0,27.44,Norway,2002,Winter,United States,Alpine Skiing,Alpine Skiing Men's Combined,Gold
Kjetil Andr Aamodt,M,34.0,176.0,85.0,27.44,Norway,2006,Winter,Italy,Alpine Skiing,Alpine Skiing Men's Super G,Gold
Ragnhild Margrethe Aamodt,F,27.0,163.0,73.77,27.77,Norway,2008,Summer,China,Handball,Handball Women's Handball,Gold
Giovanni Abagnale,M,21.0,198.0,90.0,22.96,Italy,2016,Summer,Brazil,Rowing,Rowing Men's Coxless Pairs,Bronze
Jos Luis Abajo Gmez,M,30.0,194.0,87.0,23.12,Spain,2008,Summer,China,Fencing,"Fencing Men's epee, Individual",Bronze
Patimat Abakarova,F,21.0,165.0,49.0,18.0,Azerbaijan,2016,Summer,Brazil,Taekwondo,Taekwondo Women's Flyweight,Bronze
Mariya Vasilyevna Abakumova (-Tarabina),F,22.0,179.0,80.0,24.97,Russia,2008,Summer,China,Athletics,Athletics Women's Javelin Throw,Silver
Aleksey Aleksandrovich Abalmasov,M,28.0,180.0,83.0,25.62,Belarus,2008,Summer,China,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
Luc Abalo,M,23.0,182.0,86.0,25.96,France,2008,Summer,China,Handball,Handball Men's Handball,Gold
Luc Abalo,M,27.0,182.0,86.0,25.96,France,2012,Summer,United Kingdom,Handball,Handball Men's Handball,Gold
Luc Abalo,M,31.0,182.0,86.0,25.96,France,2016,Summer,Brazil,Handball,Handball Men's Handball,Silver
Stephen Anthony Abas,M,26.0,165.0,55.0,20.2,United States of America,2004,Summer,Greece,Wrestling,"Wrestling Men's Featherweight, Freestyle",Silver
Tamila Rashidovna Abasova,F,21.0,163.0,60.0,22.58,Russia,2004,Summer,Greece,Cycling,Cycling Women's Sprint,Silver
Jol Marc Abati,M,38.0,190.0,85.0,23.55,France,2008,Summer,China,Handball,Handball Men's Handball,Gold
"Desmond ""Des"" Abbott",M,21.0,184.0,87.0,25.7,Australia,2008,Summer,China,Hockey,Hockey Men's Hockey,Bronze
Jeremy Abbott,M,28.0,175.0,70.0,22.86,United States of America,2014,Winter,Russia,Figure Skating,Figure Skating Mixed Team,Bronze
Monica Cecilia Abbott,F,23.0,191.0,88.0,24.12,United States of America,2008,Summer,China,Softball,Softball Women's Softball,Silver
Nia Nicole Abdallah,F,20.0,175.0,56.0,18.29,United States of America,2004,Summer,Greece,Taekwondo,Taekwondo Women's Featherweight,Silver
Saeid Morad Abdevali,M,26.0,170.0,80.0,27.68,Iran,2016,Summer,Brazil,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Bronze
Jennifer Abel,F,20.0,160.0,62.0,24.22,Canada,2012,Summer,United Kingdom,Diving,Diving Women's Synchronized Springboard,Bronze
Elvan Abeylegesse,F,25.0,159.0,40.0,15.82,Turkey,2008,Summer,China,Athletics,"Athletics Women's 5,000 metres",Silver
Denis Mikhaylovich Ablyazin,M,19.0,161.0,62.0,23.92,Russia,2012,Summer,United Kingdom,Gymnastics,Gymnastics Men's Floor Exercise,Bronze
Denis Mikhaylovich Ablyazin,M,19.0,161.0,62.0,23.92,Russia,2012,Summer,United Kingdom,Gymnastics,Gymnastics Men's Horse Vault,Silver
Denis Mikhaylovich Ablyazin,M,24.0,161.0,62.0,23.92,Russia,2016,Summer,Brazil,Gymnastics,Gymnastics Men's Team All-Around,Silver
Denis Mikhaylovich Ablyazin,M,24.0,161.0,62.0,23.92,Russia,2016,Summer,Brazil,Gymnastics,Gymnastics Men's Horse Vault,Silver
Denis Mikhaylovich Ablyazin,M,24.0,161.0,62.0,23.92,Russia,2016,Summer,Brazil,Gymnastics,Gymnastics Men's Rings,Bronze
"Matthew ""Matt"" Abood",M,30.0,197.0,92.0,23.71,Australia,2016,Summer,Brazil,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze
Alaaeldin Ahmad El-Sayyid Abouelkassem,M,21.0,188.0,87.0,24.62,Egypt,2012,Summer,United Kingdom,Fencing,"Fencing Men's Foil, Individual",Silver
Ara Abrahamian,M,29.0,191.0,84.0,23.03,Sweden,2004,Summer,Greece,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Silver
Pavel Sergeyevich Abramov,M,25.0,198.0,89.0,22.7,Russia,2004,Summer,Greece,Volleyball,Volleyball Men's Volleyball,Bronze
Yekaterina Konstantinovna Abramova,F,23.0,167.0,65.0,23.31,Russia,2006,Winter,Italy,Speed Skating,Speed Skating Women's Team Pursuit (6 laps),Bronze
"Alejandro ""lex"" Abrines Redondo",M,23.0,198.0,93.0,23.72,Spain,2016,Summer,Brazil,Basketball,Basketball Men's Basketball,Bronze
Svetlana Olegovna Abrosimova,F,28.0,188.0,77.0,21.79,Russia,2008,Summer,China,Basketball,Basketball Women's Basketball,Bronze
Julien Absalon,M,23.0,180.0,68.0,20.99,France,2004,Summer,Greece,Cycling,"Cycling Men's Mountainbike, Cross-Country",Gold
Julien Absalon,M,27.0,180.0,68.0,20.99,France,2008,Summer,China,Cycling,"Cycling Men's Mountainbike, Cross-Country",Gold
Ahmad Abughaush,M,20.0,178.0,68.0,21.46,Jordan,2016,Summer,Brazil,Taekwondo,Taekwondo Men's Featherweight,Gold
Andreea Roxana Acatrinei,F,16.0,150.0,40.0,17.78,Romania,2008,Summer,China,Gymnastics,Gymnastics Women's Team All-Around,Bronze
William Accambray,M,24.0,194.0,104.0,27.63,France,2012,Summer,United Kingdom,Handball,Handball Men's Handball,Gold
Chantal Achterberg,F,27.0,172.0,72.0,24.34,Netherlands,2012,Summer,United Kingdom,Rowing,Rowing Women's Coxed Eights,Bronze
Chantal Achterberg,F,31.0,172.0,72.0,24.34,Netherlands,2016,Summer,Brazil,Rowing,Rowing Women's Quadruple Sculls,Silver
Ronny Ackermann,M,24.0,184.0,69.0,20.38,Germany,2002,Winter,United States,Nordic Combined,Nordic Combined Men's Team,Silver
Ronny Ackermann,M,24.0,184.0,69.0,20.38,Germany,2002,Winter,United States,Nordic Combined,Nordic Combined Men's Sprint,Silver
Ronny Ackermann,M,28.0,184.0,69.0,20.38,Germany,2006,Winter,Italy,Nordic Combined,Nordic Combined Men's Team,Silver
Lautaro Germn Acosta,M,20.0,168.0,72.0,25.51,Argentina,2008,Summer,China,Football,Football Men's Football,Gold
Osmay Acosta Duarte,M,23.0,188.0,91.0,25.75,Cuba,2008,Summer,China,Boxing,Boxing Men's Heavyweight,Bronze
"Michael B. ""Mike"" Adam",M,24.0,175.0,95.0,31.02,Canada,2006,Winter,Italy,Curling,Curling Men's Curling,Gold
Nicola Virginia Adams,F,29.0,164.0,51.0,18.96,United Kingdom,2012,Summer,United Kingdom,Boxing,Boxing Women's Flyweight,Gold
Nicola Virginia Adams,F,33.0,164.0,51.0,18.96,United Kingdom,2016,Summer,Brazil,Boxing,Boxing Women's Flyweight,Gold
Rachael Alexis Adams,F,26.0,188.0,81.0,22.92,United States of America,2016,Summer,Brazil,Volleyball,Volleyball Women's Volleyball,Bronze
"Victoria ""Vicki"" Adams",F,24.0,164.0,69.0,25.65,United Kingdom,2014,Winter,Russia,Curling,Curling Women's Curling,Bronze
Valerie Kasanita Adams-Vili (-Price),F,23.0,193.0,120.0,32.22,New Zealand,2008,Summer,China,Athletics,Athletics Women's Shot Put,Gold
Valerie Kasanita Adams-Vili (-Price),F,27.0,193.0,120.0,32.22,New Zealand,2012,Summer,United Kingdom,Athletics,Athletics Women's Shot Put,Gold
Valerie Kasanita Adams-Vili (-Price),F,31.0,193.0,120.0,32.22,New Zealand,2016,Summer,Brazil,Athletics,Athletics Women's Shot Put,Silver
Filip Kamil Adamski,M,29.0,189.0,87.0,24.36,Germany,2012,Summer,United Kingdom,Rowing,Rowing Men's Coxed Eights,Gold
Olubayo Adefemi,M,22.0,181.0,82.0,25.03,Nigeria,2008,Summer,China,Football,Football Men's Football,Silver
"Ayodele ""Dele"" Adeleye",M,19.0,190.0,80.0,22.16,Nigeria,2008,Summer,China,Football,Football Men's Football,Silver
Adenzia Aparecida Ferreira da Silva,F,25.0,187.0,65.0,18.59,Brazil,2012,Summer,United Kingdom,Volleyball,Volleyball Women's Volleyball,Gold
"Richard ""Richy""  Adjei",M,27.0,190.0,110.0,30.47,Germany,2010,Winter,Canada,Bobsleigh,Bobsleigh Men's Two,Silver
"Rebecca ""Becky"" Adlington",F,19.0,179.0,70.0,21.85,United Kingdom,2008,Summer,China,Swimming,Swimming Women's 400 metres Freestyle,Gold
"Rebecca ""Becky"" Adlington",F,19.0,179.0,70.0,21.85,United Kingdom,2008,Summer,China,Swimming,Swimming Women's 800 metres Freestyle,Gold
"Rebecca ""Becky"" Adlington",F,23.0,179.0,70.0,21.85,United Kingdom,2012,Summer,United Kingdom,Swimming,Swimming Women's 400 metres Freestyle,Bronze
"Rebecca ""Becky"" Adlington",F,23.0,179.0,70.0,21.85,United Kingdom,2012,Summer,United Kingdom,Swimming,Swimming Women's 800 metres Freestyle,Bronze
Nathan Ghar-Jun Adrian,M,19.0,198.0,100.0,25.51,United States of America,2008,Summer,China,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
Nathan Ghar-Jun Adrian,M,23.0,198.0,100.0,25.51,United States of America,2012,Summer,United Kingdom,Swimming,Swimming Men's 100 metres Freestyle,Gold
Nathan Ghar-Jun Adrian,M,23.0,198.0,100.0,25.51,United States of America,2012,Summer,United Kingdom,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
Nathan Ghar-Jun Adrian,M,23.0,198.0,100.0,25.51,United States of America,2012,Summer,United Kingdom,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
Nathan Ghar-Jun Adrian,M,27.0,198.0,100.0,25.51,United States of America,2016,Summer,Brazil,Swimming,Swimming Men's 50 metres Freestyle,Bronze
Nathan Ghar-Jun Adrian,M,27.0,198.0,100.0,25.51,United States of America,2016,Summer,Brazil,Swimming,Swimming Men's 100 metres Freestyle,Bronze
Nathan Ghar-Jun Adrian,M,27.0,198.0,100.0,25.51,United States of America,2016,Summer,Brazil,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
Nathan Ghar-Jun Adrian,M,27.0,198.0,100.0,25.51,United States of America,2016,Summer,Brazil,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
Kseniya Dmitriyevna Afanasyeva,F,20.0,158.0,48.0,19.23,Russia,2012,Summer,United Kingdom,Gymnastics,Gymnastics Women's Team All-Around,Silver
Maksim Sergeyevich Afinogenov,M,22.0,183.0,88.0,26.28,Russia,2002,Winter,United States,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
Cecil Sebastian Afrika,M,28.0,175.0,75.0,24.49,South Africa,2016,Summer,Brazil,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Bronze
"Timothy Ernest Victor Kwizera ""Tim"" Agaba",M,27.0,193.0,104.0,27.92,South Africa,2016,Summer,Brazil,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Bronze
Luca Agamennoni,M,24.0,187.0,93.0,26.59,Italy,2004,Summer,Greece,Rowing,Rowing Men's Coxless Fours,Bronze
Luca Agamennoni,M,27.0,187.0,93.0,26.59,Italy,2008,Summer,China,Rowing,Rowing Men's Quadruple Sculls,Silver
Clarisse Agbegnenou,F,23.0,164.0,66.0,24.54,France,2016,Summer,Brazil,Judo,Judo Women's Half-Middleweight,Silver
Marilyn Agliotti,F,29.0,172.0,58.0,19.61,Netherlands,2008,Summer,China,Hockey,Hockey Women's Hockey,Gold
Marilyn Agliotti,F,33.0,172.0,58.0,19.61,Netherlands,2012,Summer,United Kingdom,Hockey,Hockey Women's Hockey,Gold
Yannick Agnel,M,20.0,202.0,90.0,22.06,France,2012,Summer,United Kingdom,Swimming,Swimming Men's 200 metres Freestyle,Gold
Yannick Agnel,M,20.0,202.0,90.0,22.06,France,2012,Summer,United Kingdom,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
Yannick Agnel,M,20.0,202.0,90.0,22.06,France,2012,Summer,United Kingdom,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver
Meghan Christina Agosta (-Marciano),F,18.0,168.0,67.0,23.74,Canada,2006,Winter,Italy,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
Meghan Christina Agosta (-Marciano),F,23.0,168.0,67.0,23.74,Canada,2010,Winter,Canada,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
Meghan Christina Agosta (-Marciano),F,26.0,168.0,67.0,23.74,Canada,2014,Winter,Russia,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
"Benjamin Alexandro ""Ben"" Agosto",M,24.0,178.0,75.0,23.67,United States of America,2006,Winter,Italy,Figure Skating,Figure Skating Mixed Ice Dancing,Silver
Sergio Leonel Agero del Castillo,M,20.0,172.0,74.0,25.01,Argentina,2008,Summer,China,Football,Football Men's Football,Gold
Macarena Aguilar Daz,F,27.0,170.0,67.0,23.18,Spain,2012,Summer,United Kingdom,Handball,Handball Women's Handball,Bronze
Sandra Aguilar Navarro,F,23.0,167.0,50.0,17.93,Spain,2016,Summer,Brazil,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Silver
Sri Wahyuni Agustiani,F,21.0,147.0,47.0,21.75,Indonesia,2016,Summer,Brazil,Weightlifting,Weightlifting Women's Flyweight,Silver
Robyn Mokihana Ah Mow-Santos,F,32.0,172.0,67.0,22.65,United States of America,2008,Summer,China,Volleyball,Volleyball Women's Volleyball,Silver
Annica Gunilla hln,F,27.0,177.0,75.0,23.94,Sweden,2002,Winter,United States,Ice Hockey,Ice Hockey Women's Ice Hockey,Bronze
Christian Ahlmann,M,29.0,189.0,80.0,22.4,Germany,2004,Summer,Greece,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
Christian Ahlmann,M,41.0,189.0,80.0,22.4,Germany,2016,Summer,Brazil,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
Tontowi Ahmad,M,29.0,179.0,72.0,22.47,Indonesia,2016,Summer,Brazil,Badminton,Badminton Mixed Doubles,Gold
Janne Petteri Ahonen,M,24.0,184.0,66.0,19.49,Finland,2002,Winter,United States,Ski Jumping,"Ski Jumping Men's Large Hill, Team",Silver
Janne Petteri Ahonen,M,28.0,184.0,66.0,19.49,Finland,2006,Winter,Italy,Ski Jumping,"Ski Jumping Men's Large Hill, Team",Silver
"Christian ""Chris"" Ahrens",M,28.0,195.0,97.0,25.51,United States of America,2004,Summer,Greece,Rowing,Rowing Men's Coxed Eights,Gold
Matteo Aicardi,M,26.0,192.0,102.0,27.67,Italy,2012,Summer,United Kingdom,Water Polo,Water Polo Men's Water Polo,Silver
Matteo Aicardi,M,30.0,192.0,102.0,27.67,Italy,2016,Summer,Brazil,Water Polo,Water Polo Men's Water Polo,Bronze
Mara Magdalena Aicega Amicarelli,F,30.0,165.0,60.0,22.04,Argentina,2004,Summer,Greece,Hockey,Hockey Women's Hockey,Bronze
Mara Magdalena Aicega Amicarelli,F,34.0,165.0,60.0,22.04,Argentina,2008,Summer,China,Hockey,Hockey Women's Hockey,Bronze
Rosaria Aiello,F,27.0,172.0,74.0,25.01,Italy,2016,Summer,Brazil,Water Polo,Water Polo Women's Water Polo,Silver
Hannes Aigner,M,23.0,183.0,75.0,22.4,Germany,2012,Summer,United Kingdom,Canoeing,"Canoeing Men's Kayak Singles, Slalom",Bronze
Ryoji Aikawa,M,28.0,183.0,85.0,25.38,Japan,2004,Summer,Greece,Baseball,Baseball Men's Baseball,Bronze
"Charles Benedict ""Ben"" Ainslie",M,27.0,183.0,90.0,26.87,United Kingdom,2004,Summer,Greece,Sailing,Sailing Men's One Person Dinghy,Gold
"Charles Benedict ""Ben"" Ainslie",M,31.0,183.0,90.0,26.87,United Kingdom,2008,Summer,China,Sailing,Sailing Mixed One Person Dinghy,Gold
"Charles Benedict ""Ben"" Ainslie",M,35.0,183.0,90.0,26.87,United Kingdom,2012,Summer,United Kingdom,Sailing,Sailing Men's One Person Heavyweight Dinghy,Gold
Artur Surenovych Aivazian,M,35.0,177.0,88.0,28.09,Ukraine,2008,Summer,China,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Gold
"Oluwafemi ""Junior"" Ajayi",M,20.0,172.0,79.0,26.7,Nigeria,2016,Summer,Brazil,Football,Football Men's Football,Bronze
"Ebenezer Oluwafemi ""Femi"" Ajilore",M,23.0,185.0,75.0,21.91,Nigeria,2008,Summer,China,Football,Football Men's Football,Silver
Mobolade Abimbola Ajomale,M,20.0,180.0,62.0,19.14,Canada,2016,Summer,Brazil,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
Taha Akgl,M,25.0,192.0,125.0,33.91,Turkey,2016,Summer,Brazil,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Gold
Albina Khamitovna Akhatova,F,25.0,160.0,55.0,21.48,Russia,2002,Winter,United States,Biathlon,Biathlon Women's 4 x 7.5 kilometres Relay,Bronze
Albina Khamitovna Akhatova,F,29.0,160.0,55.0,21.48,Russia,2006,Winter,Italy,Biathlon,Biathlon Women's 10 kilometres Pursuit,Bronze
Albina Khamitovna Akhatova,F,29.0,160.0,55.0,21.48,Russia,2006,Winter,Italy,Biathlon,Biathlon Women's 15 kilometres,Bronze
Albina Khamitovna Akhatova,F,29.0,160.0,55.0,21.48,Russia,2006,Winter,Italy,Biathlon,Biathlon Women's 4 x 6 kilometres Relay,Gold
Murodzhon Kakharovich Akhmadaliyev,M,21.0,165.0,56.0,20.57,Uzbekistan,2016,Summer,Brazil,Boxing,Boxing Men's Bantamweight,Bronze
Artur Kamilevich Akhmatkhuzin,M,28.0,187.0,79.0,22.59,Russia,2016,Summer,Brazil,Fencing,"Fencing Men's Foil, Team",Gold
Bakhtiyar Shakhabutdinovich Akhmedov,M,21.0,190.0,120.0,33.24,Russia,2008,Summer,China,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Silver
Morolake Akinosun,F,22.0,163.0,61.0,22.96,United States of America,2016,Summer,Brazil,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
Foluke Antinuke Akinradewo,F,24.0,191.0,79.0,21.66,United States of America,2012,Summer,United Kingdom,Volleyball,Volleyball Women's Volleyball,Silver
Foluke Antinuke Akinradewo,F,28.0,191.0,79.0,21.66,United States of America,2016,Summer,Brazil,Volleyball,Volleyball Women's Volleyball,Bronze
Khadzhimurat Magomedovich Akkayev,M,19.0,178.0,105.0,33.14,Russia,2004,Summer,Greece,Weightlifting,Weightlifting Men's Middle-Heavyweight,Silver
Khadzhimurat Magomedovich Akkayev,M,23.0,178.0,105.0,33.14,Russia,2008,Summer,China,Weightlifting,Weightlifting Men's Middle-Heavyweight,Bronze
Daniel Akpeyi,M,30.0,187.0,80.0,22.88,Nigeria,2016,Summer,Brazil,Football,Football Men's Football,Bronze
Monica Aksamit,F,26.0,183.0,74.0,22.1,United States of America,2016,Summer,Brazil,Fencing,"Fencing Women's Sabre, Team",Bronze
Nasser Salih Nasser Abdullah Al-Attiya,M,41.0,178.0,82.0,25.88,Qatar,2012,Summer,United Kingdom,Shooting,Shooting Men's Skeet,Bronze
Fehaid Al-Deehani,M,45.0,178.0,95.0,29.98,Kuwait,2012,Summer,United Kingdom,Shooting,Shooting Men's Trap,Bronze
Fehaid Al-Deehani,M,49.0,178.0,95.0,29.98,India,2016,Summer,Brazil,Shooting,Shooting Men's Double Trap,Gold
Ramzy Al-Duhami,M,40.0,162.0,70.0,26.67,Saudi Arabia,2012,Summer,United Kingdom,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
Ahmed bin Hasher Al-Maktoum,M,40.0,175.0,67.0,21.88,United Arab Emirates,2004,Summer,Greece,Shooting,Shooting Men's Double Trap,Gold
Abdullah Al-Rashidi,M,52.0,183.0,83.0,24.78,India,2016,Summer,Brazil,Shooting,Shooting Men's Skeet,Bronze
Prince Abdullah Bin Moteb Al-Saud,M,27.0,178.0,69.0,21.78,Saudi Arabia,2012,Summer,United Kingdom,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
Marina Alabau Neira,F,26.0,164.0,55.0,20.45,Spain,2012,Summer,United Kingdom,Sailing,Sailing Women's Windsurfer,Gold
Ruslan Vladimirovich Albegov,M,24.0,192.0,156.0,42.32,Russia,2012,Summer,United Kingdom,Weightlifting,Weightlifting Men's Super-Heavyweight,Bronze
Nely Carla Alberto Francisca,F,29.0,179.0,90.0,28.09,Spain,2012,Summer,United Kingdom,Handball,Handball Women's Handball,Bronze
Islam-Beka Said-Tsilimovich Albiyev,M,19.0,165.0,66.0,24.24,Russia,2008,Summer,China,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Gold
Brigitte Albrecht-Loretan,F,31.0,175.0,64.0,20.9,Switzerland,2002,Winter,United States,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,Bronze
David Alegre Biosca,M,23.0,184.0,75.0,22.15,Spain,2008,Summer,China,Hockey,Hockey Men's Hockey,Silver
Ramn Alegre Biosca,M,27.0,171.0,71.0,24.28,Spain,2008,Summer,China,Hockey,Hockey Men's Hockey,Silver
Jo Qesem Ayela Aleh,F,26.0,171.0,58.0,19.84,New Zealand,2012,Summer,United Kingdom,Sailing,Sailing Women's Two Person Dinghy,Gold
Jo Qesem Ayela Aleh,F,30.0,171.0,58.0,19.84,New Zealand,2016,Summer,Brazil,Sailing,Sailing Women's Two Person Dinghy,Silver
Virgilijus Alekna,M,32.0,200.0,130.0,32.5,Lithuania,2004,Summer,Greece,Athletics,Athletics Men's Discus Throw,Gold
Virgilijus Alekna,M,36.0,200.0,130.0,32.5,Lithuania,2008,Summer,China,Athletics,Athletics Men's Discus Throw,Bronze
Artur Aleksanyan,M,20.0,190.0,98.0,27.15,Armenia,2012,Summer,United Kingdom,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Bronze
Artur Aleksanyan,M,24.0,190.0,98.0,27.15,Armenia,2016,Summer,Brazil,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Gold
Milan Aleksi,M,26.0,193.0,96.0,25.77,Serbia,2012,Summer,United Kingdom,Water Polo,Water Polo Men's Water Polo,Bronze
Milan Aleksi,M,30.0,193.0,96.0,25.77,Serbia,2016,Summer,Brazil,Water Polo,Water Polo Men's Water Polo,Gold
Alex Sandro Lobo Silva,M,21.0,177.0,60.0,19.15,Brazil,2012,Summer,United Kingdom,Football,Football Men's Football,Silver
"Alexandre ""Alexandre Pato"" Rodrigues da Silva",M,18.0,179.0,71.0,22.16,Brazil,2008,Summer,China,Football,Football Men's Football,Bronze
"Alexandre ""Alexandre Pato"" Rodrigues da Silva",M,22.0,179.0,71.0,22.16,Brazil,2012,Summer,United Kingdom,Football,Football Men's Football,Silver
Abdoul Razak Issoufou Alfaga,M,21.0,207.0,90.0,21.0,Nigeria,2016,Summer,Brazil,Taekwondo,Taekwondo Men's Heavyweight,Silver
Hans Daniel Alfredsson,M,33.0,182.0,92.0,27.77,Sweden,2006,Winter,Italy,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
Hans Daniel Alfredsson,M,41.0,182.0,92.0,27.77,Sweden,2014,Winter,Russia,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
Sara Anneli Algotsson Ostholt,F,37.0,163.0,56.0,21.08,Sweden,2012,Summer,United Kingdom,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Silver
Nia Sifaatihii Ali,F,27.0,170.0,65.0,22.49,United States of America,2016,Summer,Brazil,Athletics,Athletics Women's 100 metres Hurdles,Silver
Sergey Gennadyevich Alifirenko,M,45.0,168.0,72.0,25.51,Russia,2004,Summer,Greece,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",Bronze
Mirko Alilovi,M,26.0,200.0,110.0,27.5,Croatia,2012,Summer,United Kingdom,Handball,Handball Men's Handball,Bronze
Aline Pellegrino,F,22.0,180.0,71.0,21.91,Brazil,2004,Summer,Greece,Football,Football Women's Football,Silver
Aleksey Aleksandrovich Alipov,M,29.0,175.0,80.0,26.12,Russia,2004,Summer,Greece,Shooting,Shooting Men's Trap,Gold
Aleksey Aleksandrovich Alipov,M,32.0,175.0,80.0,26.12,Russia,2008,Summer,China,Shooting,Shooting Men's Trap,Bronze
Alison Conte Cerutti,M,26.0,203.0,106.0,25.72,Brazil,2012,Summer,United Kingdom,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,Silver
Alison Conte Cerutti,M,30.0,203.0,106.0,25.72,Brazil,2016,Summer,Brazil,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,Gold
Deji Aliu,M,28.0,187.0,75.0,21.45,Nigeria,2004,Summer,Greece,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
Margarita Sergeyevna Aliychuk,F,17.0,174.0,48.0,15.85,Russia,2008,Summer,China,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Gold
Kimia Alizadeh Zenoorin,F,18.0,185.0,57.0,16.65,Iran,2016,Summer,Brazil,Taekwondo,Taekwondo Women's Featherweight,Bronze
"Katherine Jessie Jean ""Kate"" Allen (-Diechtler)",F,34.0,163.0,53.0,19.95,Austria,2004,Summer,Greece,Triathlon,Triathlon Women's Olympic Distance,Gold
Nathon Allen,M,20.0,178.0,73.77,23.28,Jamaica,2016,Summer,Brazil,Athletics,Athletics Men's 4 x 400 metres Relay,Silver
Wyatt Allen,M,25.0,193.0,98.0,26.31,United States of America,2004,Summer,Greece,Rowing,Rowing Men's Coxed Eights,Gold
Wyatt Allen,M,29.0,193.0,98.0,26.31,United States of America,2008,Summer,China,Rowing,Rowing Men's Coxed Eights,Bronze
"Sandra Louise ""Sandy"" Allen-Lewis",F,25.0,170.0,59.0,20.42,Australia,2004,Summer,Greece,Softball,Softball Women's Softball,Silver
"Sandra Louise ""Sandy"" Allen-Lewis",F,29.0,170.0,59.0,20.42,Australia,2008,Summer,China,Softball,Softball Women's Softball,Bronze
Ade Franci Alleyne-Forte,M,23.0,180.0,73.0,22.53,Trinidad and Tobago,2012,Summer,United Kingdom,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze
Carmela Allucci,F,34.0,167.0,60.0,21.51,Italy,2004,Summer,Greece,Water Polo,Water Polo Women's Water Polo,Gold
"sa Annelie Charlotte ""Lotta"" Almblad (-Lindefors)",F,29.0,170.0,69.0,23.88,Sweden,2002,Winter,United States,Ice Hockey,Ice Hockey Women's Ice Hockey,Bronze
Jessica Alonso Bernardo,F,28.0,172.0,65.0,21.97,Spain,2012,Summer,United Kingdom,Handball,Handball Women's Handball,Bronze
"Mikhail Surenovich ""Misha"" Aloyan",M,23.0,164.0,52.0,19.33,Russia,2012,Summer,United Kingdom,Boxing,Boxing Men's Flyweight,Bronze
Thomas Alsgaard (Alsgrd-),M,30.0,190.0,82.0,22.71,Norway,2002,Winter,United States,Cross Country Skiing,Cross Country Skiing Men's 10/10 kilometres Pursuit,Gold
Thomas Alsgaard (Alsgrd-),M,30.0,190.0,82.0,22.71,Norway,2002,Winter,United States,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Gold
Ida Alstad,F,27.0,172.0,60.0,20.28,Norway,2012,Summer,United Kingdom,Handball,Handball Women's Handball,Gold
Ida Alstad,F,31.0,172.0,60.0,20.28,Norway,2016,Summer,Brazil,Handball,Handball Women's Handball,Bronze
